Trial,Accuracy (BBQ),Params
0,0.5366,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'woke, racist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.19999999999999996, 'start_layer': -1, 'end_layer': -7}"
1,0.5328,"{'prompt_type': 'generic', 'num_sents': 300, 'items': 'anti-racist, racist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.20000000000000018, 'start_layer': -2, 'end_layer': -17}"
2,0.5294,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'love Black people, hate Black people', 'system_prompt': 'Imagine you are very ', 'coeff': -0.5999999999999999, 'start_layer': -2, 'end_layer': -11}"
3,0.5474,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003, 'start_layer': -2, 'end_layer': -11}"
4,0.531,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'anti-racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0, 'start_layer': -1, 'end_layer': -8}"
5,0.536,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'woke, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001, 'start_layer': -5, 'end_layer': -6}"
6,0.5568,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'love Black people, hate Black people', 'system_prompt': 'Imagine you are very ', 'coeff': 0.40000000000000036, 'start_layer': -5, 'end_layer': -18}"
7,0.5372,"{'prompt_type': 'generic', 'num_sents': 300, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Imagine you are very ', 'coeff': -0.7999999999999998, 'start_layer': -5, 'end_layer': -12}"
8,0.531,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'not racist, racist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.8000000000000003, 'start_layer': -4, 'end_layer': -15}"
9,0.5392,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'racially inclusive, racially discriminatory', 'system_prompt': 'Imagine you are very ', 'coeff': 1.6, 'start_layer': -1, 'end_layer': -6}"
10,0.0,"{'prompt_type': 'race', 'num_sents': 500, 'items': 'love Black people, hate Black people', 'system_prompt': 'Pretend you are really ', 'coeff': -2.0, 'start_layer': -4, 'end_layer': -18}"
11,0.538,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'not racist, racist', 'system_prompt': 'Pretend you are really ', 'coeff': 1.0, 'start_layer': -3, 'end_layer': -12}"
12,0.5496,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002, 'start_layer': -3, 'end_layer': -15}"
13,0.5452,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'love Black people, hate Black people', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0, 'start_layer': -4, 'end_layer': -15}"
