Trial,Accuracy (BBQ),Params
0,0.5878,"{'prompt_type': 'genericqa', 'num_sents': 500, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
1,0.4148,"{'prompt_type': 'generic', 'num_sents': 500, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 1.2000000000000002}"
2,0.5372,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'inclusive, bigoted', 'system_prompt': 'Pretend you are very ', 'coeff': 1.2000000000000002}"
3,0.4604,"{'prompt_type': 'age', 'num_sents': 250, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.7999999999999998}"
4,0.4904,"{'prompt_type': 'genericqa', 'num_sents': 450, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
5,0.5502,"{'prompt_type': 'starters', 'num_sents': 400, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
6,0.5636,"{'prompt_type': 'race', 'num_sents': 450, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': 1.4000000000000004}"
7,0.5388,"{'prompt_type': 'religion', 'num_sents': 200, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018}"
8,0.5366,"{'prompt_type': 'disability', 'num_sents': 150, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.8000000000000003}"
9,0.5582,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'accepting, prejudiced', 'system_prompt': 'Pretend you are very ', 'coeff': 0.40000000000000036}"
10,0.159,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -2.0}"
11,0.428,"{'prompt_type': 'socioeconomic', 'num_sents': 500, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 2.0}"
12,0.595,"{'prompt_type': 'sexuality', 'num_sents': 400, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.8000000000000003}"
13,0.5842,"{'prompt_type': 'sexuality', 'num_sents': 350, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001}"
14,0.5054,"{'prompt_type': 'sexuality', 'num_sents': 400, 'items': 'liberal, authoritarian', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999}"
15,0.5728,"{'prompt_type': 'sexuality', 'num_sents': 450, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001}"
16,0.0284,"{'prompt_type': 'genericqa', 'num_sents': 350, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6}"
17,0.5514,"{'prompt_type': 'socioeconomic', 'num_sents': 500, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
