Trial,Accuracy (BBQ),Params
0,0.0,"{'prompt_type': 'generic', 'num_sents': 100, 'items': 'not sexist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0, 'start_layer': -1, 'end_layer': -17}"
1,0.617,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'not sexist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999, 'start_layer': -5, 'end_layer': -15}"
2,0.6812,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0, 'start_layer': -3, 'end_layer': -17}"
3,0.5992,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'not sexist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6, 'start_layer': -2, 'end_layer': -12}"
4,0.651,"{'prompt_type': 'starters', 'num_sents': 150, 'items': 'feminist, anti-feminist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0, 'start_layer': -3, 'end_layer': -9}"
5,0.6392,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.2, 'start_layer': -5, 'end_layer': -7}"
6,0.6432,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999, 'start_layer': -5, 'end_layer': -6}"
7,0.6414,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'love women, hate women', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0, 'start_layer': -5, 'end_layer': -6}"
8,0.6476,"{'prompt_type': 'gender', 'num_sents': 150, 'items': 'feminist, sexist', 'system_prompt': 'Imagine you are very ', 'coeff': -0.3999999999999999, 'start_layer': -1, 'end_layer': -17}"
9,0.6442,"{'prompt_type': 'starters', 'num_sents': 400, 'items': 'feminist, a woman hater', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.0, 'start_layer': -1, 'end_layer': -11}"
10,0.595,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'love women, hate women', 'system_prompt': 'Pretend you are really ', 'coeff': 1.0, 'start_layer': -3, 'end_layer': -14}"
11,0.6238,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'feminist, anti-feminist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.2, 'start_layer': -3, 'end_layer': -9}"
12,0.6638,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'feminist, anti-feminist', 'system_prompt': 'Imagine you are very ', 'coeff': -2.0, 'start_layer': -3, 'end_layer': -9}"
13,0.6736,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'feminist, anti-feminist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.2, 'start_layer': -4, 'end_layer': -14}"
14,0.6336,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'feminist, a woman hater', 'system_prompt': 'Imagine you are very ', 'coeff': -1.2, 'start_layer': -4, 'end_layer': -15}"
15,0.6212,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'feminist, anti-feminist', 'system_prompt': 'Imagine you are very ', 'coeff': 0.6000000000000001, 'start_layer': -4, 'end_layer': -18}"
16,0.6442,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'love women, hate women', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0, 'start_layer': -4, 'end_layer': -14}"
17,0.6198,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'feminist, anti-feminist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0, 'start_layer': -2, 'end_layer': -12}"
18,0.6308,"{'prompt_type': 'gender', 'num_sents': 250, 'items': 'love women, hate women', 'system_prompt': 'Imagine you are very ', 'coeff': 0.40000000000000036, 'start_layer': -2, 'end_layer': -16}"
19,0.5706,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are really ', 'coeff': -1.6, 'start_layer': -4, 'end_layer': -13}"
20,0.6308,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'feminist, a woman hater', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998, 'start_layer': -4, 'end_layer': -18}"
21,0.6682,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'feminist, anti-feminist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.6, 'start_layer': -3, 'end_layer': -10}"
22,0.664,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'feminist, anti-feminist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.4, 'start_layer': -2, 'end_layer': -10}"
23,0.6618,"{'prompt_type': 'starters', 'num_sents': 350, 'items': 'feminist, anti-feminist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.6, 'start_layer': -3, 'end_layer': -11}"
24,0.6572,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'feminist, anti-feminist', 'system_prompt': 'Imagine you are very ', 'coeff': -0.19999999999999996, 'start_layer': -3, 'end_layer': -16}"
25,0.6254,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'love women, hate women', 'system_prompt': 'Imagine you are very ', 'coeff': -0.7999999999999998, 'start_layer': -4, 'end_layer': -13}"
26,0.6602,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'feminist, anti-feminist', 'system_prompt': 'Imagine you are very ', 'coeff': -1.8, 'start_layer': -2, 'end_layer': -8}"
27,0.6268,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'feminist, anti-feminist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0, 'start_layer': -4, 'end_layer': -11}"
28,0.6132,"{'prompt_type': 'generic', 'num_sents': 450, 'items': 'love women, hate women', 'system_prompt': 'Pretend you are really ', 'coeff': -1.4, 'start_layer': -3, 'end_layer': -14}"
29,0.624,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'feminist, a woman hater', 'system_prompt': 'Imagine you are very ', 'coeff': 0.8000000000000003, 'start_layer': -3, 'end_layer': -17}"
