Trial,Accuracy (BBQ),Params
0,0.677,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
1,0.5316,"{'prompt_type': 'disability', 'num_sents': 350, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': 1.6}"
2,0.6448,"{'prompt_type': 'gender', 'num_sents': 100, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 0.0}"
3,0.7312,"{'prompt_type': 'starters', 'num_sents': 400, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0}"
4,0.6572,"{'prompt_type': 'genericqa', 'num_sents': 400, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.40000000000000036}"
5,0.6448,"{'prompt_type': 'age', 'num_sents': 350, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0}"
6,0.5286,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.2}"
7,0.601,"{'prompt_type': 'sexuality', 'num_sents': 250, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.4000000000000004}"
8,0.6142,"{'prompt_type': 'age', 'num_sents': 100, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999}"
9,0.6238,"{'prompt_type': 'sexuality', 'num_sents': 500, 'items': 'woke, racist and sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 0.40000000000000036}"
10,0.5422,"{'prompt_type': 'race', 'num_sents': 500, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0}"
11,0.1494,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0}"
12,0.6624,"{'prompt_type': 'religion', 'num_sents': 250, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.2000000000000002}"
13,0.6152,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0}"
14,0.6578,"{'prompt_type': 'socioeconomic', 'num_sents': 300, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001}"
15,0.6672,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0}"
16,0.4712,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
17,0.5936,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.0}"
18,0.6428,"{'prompt_type': 'gender', 'num_sents': 450, 'items': 'multicultural, xenophobic', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
19,0.6488,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'progressive, conservative', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6}"
20,0.6098,"{'prompt_type': 'race', 'num_sents': 450, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
21,0.6624,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4}"
22,0.6676,"{'prompt_type': 'generic', 'num_sents': 400, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
23,0.6654,"{'prompt_type': 'generic', 'num_sents': 350, 'items': 'respectful, derogatory', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
24,0.6284,"{'prompt_type': 'socioeconomic', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6}"
25,0.6216,"{'prompt_type': 'genericqa', 'num_sents': 300, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.6000000000000001}"
26,0.6592,"{'prompt_type': 'starters', 'num_sents': 400, 'items': 'accepting, prejudiced', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.3999999999999999}"
27,0.6448,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'woke, racist and sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.0}"
28,0.5382,"{'prompt_type': 'generic', 'num_sents': 200, 'items': 'feminist, sexist', 'system_prompt': 'Pretend you are very ', 'coeff': 0.8000000000000003}"
29,0.2264,"{'prompt_type': 'disability', 'num_sents': 300, 'items': 'respectful, derogatory', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 1.6}"
30,0.7126,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
31,0.713,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
32,0.7126,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
33,0.7126,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
34,0.6762,"{'prompt_type': 'religion', 'num_sents': 300, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.6}"
35,0.711,"{'prompt_type': 'religion', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
36,0.7382,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
37,0.6588,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.2}"
38,0.5238,"{'prompt_type': 'genericqa', 'num_sents': 450, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
39,0.5576,"{'prompt_type': 'age', 'num_sents': 250, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
40,0.5018,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
41,0.7448,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
42,0.742,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
43,0.742,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
44,0.179,"{'prompt_type': 'sexuality', 'num_sents': 400, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
45,0.719,"{'prompt_type': 'religion', 'num_sents': 450, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.2}"
46,0.2942,"{'prompt_type': 'religion', 'num_sents': 500, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
47,0.448,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.6}"
48,0.6556,"{'prompt_type': 'starters', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
49,0.666,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.0}"
41,0.7448,"{'prompt_type': 'religion', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': -1.8}"
