Trial,Accuracy (BBQ),Params
0,0.0674,"{'prompt_type': 'genericqa', 'num_sents': 450, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 2.0}"
1,0.2754,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'liberal, authoritarian', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.7999999999999998}"
2,0.2884,"{'prompt_type': 'disability', 'num_sents': 450, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 1.4000000000000004}"
3,0.2544,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6}"
4,0.3152,"{'prompt_type': 'gender', 'num_sents': 400, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Pretend you are very ', 'coeff': 1.4000000000000004}"
5,0.3002,"{'prompt_type': 'gender', 'num_sents': 100, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Act as if you are extremely ', 'coeff': -0.5999999999999999}"
6,0.2962,"{'prompt_type': 'sexuality', 'num_sents': 100, 'items': 'tolerant and empathetic, intolerant', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.5999999999999999}"
7,0.0944,"{'prompt_type': 'socioeconomic', 'num_sents': 300, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 2.0}"
8,0.2728,"{'prompt_type': 'sexuality', 'num_sents': 300, 'items': 'feminist, sexist', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0}"
9,0.321,"{'prompt_type': 'race', 'num_sents': 100, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4}"
10,0.317,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.8}"
11,0.3112,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0}"
12,0.2946,"{'prompt_type': 'race', 'num_sents': 200, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.40000000000000036}"
13,0.2514,"{'prompt_type': 'age', 'num_sents': 150, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6}"
14,0.295,"{'prompt_type': 'starters', 'num_sents': 200, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018}"
15,0.0048,"{'prompt_type': 'generic', 'num_sents': 100, 'items': 'inclusive, bigoted', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0}"
16,0.2464,"{'prompt_type': 'race', 'num_sents': 350, 'items': 'respectful, derogatory', 'system_prompt': 'Pretend you are very ', 'coeff': -1.4}"
17,0.3022,"{'prompt_type': 'race', 'num_sents': 150, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.19999999999999996}"
18,0.319,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2}"
19,0.178,"{'prompt_type': 'starters', 'num_sents': 500, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': -1.0}"
20,0.3118,"{'prompt_type': 'starters', 'num_sents': 300, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.19999999999999996}"
21,0.2386,"{'prompt_type': 'age', 'num_sents': 250, 'items': 'accepting, prejudiced', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.4}"
22,0.0056,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0}"
23,0.0204,"{'prompt_type': 'genericqa', 'num_sents': 200, 'items': 'multicultural, xenophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.2}"
24,0.3372,"{'prompt_type': 'disability', 'num_sents': 150, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.6}"
25,0.2912,"{'prompt_type': 'disability', 'num_sents': 150, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.6000000000000001}"
26,0.2928,"{'prompt_type': 'disability', 'num_sents': 100, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999}"
27,0.2672,"{'prompt_type': 'socioeconomic', 'num_sents': 350, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.0}"
28,0.3444,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.4}"
29,0.326,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6}"
30,0.285,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': 0.8000000000000003}"
31,0.3246,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6}"
32,0.3248,"{'prompt_type': 'religion', 'num_sents': 150, 'items': 'progressive, conservative', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.6}"
