Trial,Accuracy (BBQ),Params
0,0.869,"{'prompt_type': 'age', 'num_sents': 250, 'items': 'inclusive, bigoted', 'system_prompt': 'Act as if you are extremely ', 'coeff': 1.0}"
1,0.8606,"{'prompt_type': 'age', 'num_sents': 150, 'items': 'humanitarian, oppressive', 'system_prompt': 'Act as if you are extremely ', 'coeff': -1.0}"
2,0.8694,"{'prompt_type': 'generic', 'num_sents': 250, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.0}"
3,0.8598,"{'prompt_type': 'starters', 'num_sents': 100, 'items': 'woke, racist and sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -2.0}"
4,0.8636,"{'prompt_type': 'starters', 'num_sents': 250, 'items': 'feminist, sexist', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -1.8}"
5,0.8894,"{'prompt_type': 'socioeconomic', 'num_sents': 350, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': -2.0}"
6,0.8714,"{'prompt_type': 'race', 'num_sents': 250, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018}"
7,0.8532,"{'prompt_type': 'age', 'num_sents': 200, 'items': 'humanitarian, oppressive', 'system_prompt': 'Pretend you are very ', 'coeff': -1.6}"
8,0.871,"{'prompt_type': 'gender', 'num_sents': 350, 'items': 'open-minded, close-minded and biased', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': 0.20000000000000018}"
9,0.8638,"{'prompt_type': 'gender', 'num_sents': 500, 'items': 'humanitarian, oppressive', 'system_prompt': 'Express in your response that you are extremely ', 'coeff': -0.3999999999999999}"
10,0.8482,"{'prompt_type': 'socioeconomic', 'num_sents': 400, 'items': 'progressive, conservative', 'system_prompt': 'Pretend you are very ', 'coeff': 1.8000000000000003}"
11,0.8716,"{'prompt_type': 'race', 'num_sents': 400, 'items': 'LGBTQ+, homophobic', 'system_prompt': 'Pretend you are very ', 'coeff': 0.6000000000000001}"
